@Christianus|Chrīstiānus, -a, -um, adj., Christian (25)
@Curia|Cūria, -ae, f., senate, meeting house (19) 
@Lar|Lār, Laris, m., Lares (usually pl.), tutelary gods of the home and hearth (23) 
@Pantheum|Pantheum, -ī, n., Pantheon (11) 
@Papa|Pāpa, -ae, m., the Pope (19) 
@Russicus|Russicus, -a, -um, adj., Russian (29) 
@Sina|Sīna, -ae, f., China (7) 
@Sinensis|Sīnēnsis, Sīnēnse, adj., Chinese (7) 
@Spartanus|Spartānus, -a, -um, adj., Spartan (27) 
@Vesta|Vesta, -ae, f., goddess of the hearth and the household (17) 
@Vestalis|Vestālis, Vestāle, adj., Vestal, of Vesta (19) 
ab|ab, ā, prep. with abl., by, from (11) 
abeo|abeō, abīre, abīvī, abitus, depart, go away (14) 
abeo|abeō, abīre, abīvī, abitus, depart, go away (14) 
abhinc|abhinc, adv., ago, from this place (25) 
absum|absum, abesse, āfuī, āfutūrus, be away, be absent (11) 
abutor|abūtor, abūti, abūsus sum, abuse, use up (10) 
ac|ac, conj., and (14) 
accedo|accēdō, accēdere, accessī, accessus, come near, approach (29) 
accido|accidō, accidere, accidī, —,  happen (23) 
accipio|accipiō, accipere, accēpī, acceptus, take, receive, let in (13) 
accurate|accūrātē, adv., carefully (27) 
accusativus|accūsātīvus, -a, -um, adj., accusative (case) (22) 
acerbus|acerbus, -a, -um adj., bitter (15) 
acervus|acervus, -ī, m., pile (27) 
ad|ad, prep. with acc., to, up to, towards (10) 
adeo|adeō, adīre, adīvī/adiī, aditus, approach, visit (14) 
adhuc|adhūc, adv., still (13) 
adiungo|adiungō, adiungere, adiūnxī, adiūnctus, add, attach, join to (25) 
adjungo|adiungō, adiungere, adiūnxī, adiūnctus, add, attach, join to (25) 
adiuvo|adiuvō, adiuvāre, adiūvī, adiūtus, help (16) 
adjuvo|adiuvō, adiuvāre, adiūvī, adiūtus, help (16) 
adloquor|adloquor, adloquī, adlocūtus sum, speak to (18) 
administro|administrō, administrāre, administrāvī, administrātus, manage (19) 
admiratio|admīrātiō, admīrātiōnis, f., wonder, surprise (26) 
admiror|admīror, admīrārī, admīrātus sum, admire, wonder at (26) 
adoro|adōrō, adōrāre, adōrāvī, adōrātus, honor, adore, worship (26) 
adsum|adsum, adesse, adfuī, adfutūrus, be present (14) 
advenio|adveniō, advenīre, advēnī, adventus, come to, arrive (16) 
aedificatus|aedificātus, -a, -um, adj., built, constructed, made (26) 
aedificium|aedificium, -iī, n., building (16) 
aedifico|aedificō, aedificāre, aedificāvī, aedificātus, build, construct, make, create (24) 
aeger|aeger, aegra, aegrum, adj., sick (16) 
aegrotus|aegrōtus, -a, -um, adj., sick (15) 
aer|āēr, āeris, m., air, atmosphere (17) 
aestas|aestās, aestātis, f., summer (28) 
aestimo|aestimō, aestimāre, aestimāvī, aestimātus, consider, judge (16) 
aestivus|aestīvus, -a, -um, adj., pertaining to summer (28) 
aetas|aetās, aetātis, f., period, age, era (22) 
aeternus|aeternus,  -a, -um, adj., eternal, everlasting (24) 
affero|afferō, afferre, attulī, allātus, bring, carry (29) 
ager|ager, agrī, m., field (19) 
ago|agō, agere, ēgī, āctus, act, thank (with grātiās) (7) 
agricola|agricola, agricolae, m., farmer (19) 
ait|ait, —, —,  say (27) 
ala|āla, -ae, f., wing (27) 
albus|albus, -a, -um, adj., white (13) 
ales|āles, ālitis, m./f., bird (18) 
alibi|alibī, adv., elsewhere, in another place (23) 
alienus|aliēnus, -a, -um, adj., foreign, unfamiliar (11) 
aliqua|aliquā, adv., somehow (24) 
aliquando|aliquandō, adv., sometime (9) 
aliquis|aliquis, aliquid, someone, something, anyone (15) 
aliter|aliter, adv., otherwise, differently (23) 
alius|alius, alia, aliud, adj., other (5) 
alloquor|alloquor, alloquī, allocūtus sum, speak, make a speech (30) 
almus|almus, -a, -um, adj., nourishing, kind (15) 
alo|alō, alere, aluī, altus, feed, support (23) 
alter|alter, altera, alterum, adj., other, another (12) 
altitudo|altitūdō, altitūdinis, f., height, altitude (24) 
altus|altus, -a, -um, adj., high, tall (14) 
alvus|alvus, -ī, f., belly, womb, cavity (23) 
amabilis|amābilis, amābile, adj., lovable, pleasant, delightful (29) 
amasia|amāsia, -ae, f., girlfriend (25) 
amator|amātor, amātōris, m., lover (13) 
ambo|ambō, both (16) 
amb|ambō, both (16) 
ambulo|ambulō, ambulāre, ambulāvī, ambulātus, walk (5) 
amens|āmēns, āmentis, adj., insane, out of one's mind (29) 
amicus|amīcus, amīcī m., amīca, amīcae, f., friend (7) 
amitto|āmittō, āmittere, āmīsī, āmissus, lose, let go (17) 
amo|amō, amāre, amāvī, amātus, love (8) 
amor|amor, amōris, m., love (17) 
amoveo|āmoveō, āmovēre, āmōvī, āmōtus, move away (17) 
amphitheatrum|amphitheātrum, -ī, n., amphitheater (11) 
amphora|amphora, -ae, f., amphora, pitcher (14) 
amplector|amplector, amplectī, amplexus sum, embrace, hug, grasp (26) 
an|an, conj., whether, or (13) 
anas|anas, anatis, f., duck (26) 
angulus|angulus, -ī, m., corner (18) 
anima|anima, -ae, f., soul, spirit (18) 
animadverto|animadvertō, animadvertere, animadvertī, animadversus, pay attention to, notice, observe (22) 
animal|animal, animālis, n., animal (8) 
animus|animus, -ī, m., mind, intellect (18) 
annus|annus, -ī, m., year (2) 
ante|ante, prep. with acc., in front of, before (16) 
antea|anteā, adv., before (21) 
antehac|antehāc, adv., before now, earlier (30) 
antequam|antequam, conj., before (23)  
antiquitus|antīquitus, adv., of old, in ancient times (25) 
antiquus|antīquus, -a, -um, adj., old, ancient (7) 
anulus|ānulus, -ī, m., ring (25) 
aperio|aperiō, aperīre, aperuī, apertus, open (10) 
apertus|apertus, -a, -um, adj., open (6) 
appareo|appāreō, appārēre, appāruī, appāritus, appear, show up (27) 
appello|appellō, appellāre, appellāvī, appellātus, call, name (16) 
appropinquo|appropinquō, appropinquāre, appropinquāvī, appropinquātus, with dat. or ad + acc., approach (13) 
aptus|aptus, -a, -um, adj., suitable (13) 
apud|apud, prep. with acc., at, near, among (11) 
aqua|aqua, aquae, f., water (13) 
aquaeductus|aquaeductus, aquaeductūs, m., aqueduct (19) 
ara|āra, -ae, f., altar (16) 
araneus|arāneus, -ī, m., spider (21) 
aratrum|arātrum, -ī, n., plow (19) 
arbitror|arbitror, arbitrārī, arbitrātus sum, observe, judge, believe, think (18) 
arbor|arbor, arboris, f., tree (11) 
arca|arca, -ae, f., box (27) 
arcesso|arcessō, arcessere, arcessīvī, arcessītus, summon, fetch (30) 
architectus|architectus, -ī, m., architect, designer, builder (19) 
arcus|arcus, -ūs, m., arch (23) 
ardeo|ārdeō, ārdēre, ārsī, ārsus, burn (19) 
area|ārea, -ae, f., area, space, site (24) 
armarium|armārium, -iī, n., cabinet, closet (23) 
arma|arma, -ōrum, n., weapons (17)  
armum|arma, -ōrum, n., weapons (17)  
ars|ars, artis, f., skill, art, knowledge (11) 
artifex|artifex, artificis, m./f., artist (26) 
ascendo|ascendō, ascendere, ascendī, ascēnsus, climb up (14) 
aspicio|aspiciō, aspicere, aspexī, aspectus, look at, see (13) 
assentior|assentior, assentīrī, assēnsus sum, agree, approve (18) 
at|at, conj., but (21) 
ater|āter, ātra, ātrum, adj., dark, gloomy (15) 
athleticus|āthlēticus, -a, -um, adj., athletic, sporty (29) 
atque|atque, conj., and (16) 
atrium|ātrium, -iī, n., atrium, entrance hall (23) 
attingo|attingō, attingere, attigī, attāctus, touch (24) 
auctor|auctor, auctōris, m./f., author (27) 
auctoritas|auctōritās, auctōritātis, f., power, authority (26) 
audio|audiō, audīre, audīvī, audītus, hear (5) 
aufero|auferō, auferre, abstulī, ablātus, carry away, remove (15) 
aufugio|aufugiō, aufugere, aufūgī, —, run away (25) 
augurium|augurium, -iī, n., augury, divination (24) 
aula|aula, -ae, f., hall, room (22) 
aureus|aureus, -a, -um, adj., golden (25) 
auris|auris, auris, f., ear (24) 
aurora|aurōra, -ae, f., dawn, sunrise (29) 
ausculto|auscultō, auscultāre, auscultāvī, auscultātus, listen to (24) 
aut|aut, conj., or; aut...aut, either...or (16) 
autem|autem, conj., but, however (14) 
auxilium|auxilium, -iī, n., help, assistance (16) 
avis|avis, avis, f., bird (8) 
avacatum|avacātum, -ī, n., avocado (15) 
avolo|āvolō, āvolāre, āvolāvī, āvolātus, fly away, flee, vanish (18) 
balneum|balneum, -ī, n., bath, bathtub (27) 
balo|bālō, bālāre, bālāvī, bālātus, bleat, baa like a sheep (23) 
barbarus|barbarus, -a, -um, adj., foreign; barbarian, savage (20) 
barrio|barriō, barrīre, —, —, trumpet like an elephant (23) 
basiatio|basiātiō, basiātiōnis, f., kiss (17) 
basilica|basilica, -ae, f., basilica, church (19) 
basio|bāsiō, bāsiāre, bāsiāvī, bāsiātus, to kiss (25) 
basium|bāsium, -iī, n., kiss (17) 
bellum|bellum, -ī, n., war, warfare (23) 
bellus|bellus, -a, -um, adj., pretty, charming, lovely; fine, excellent (26) 
bene|bene, comp. melius, superl. optimē, adv., well, favorably; better; best (2) 
benedico|benedīcō, benedīcere, benedīxī, benedictus, bless (29) 
benignitas|benignitās, benignitātis, f., kindness; benevolence, favor (24) 
benignus|benignus, -a, -um, adj., kind; friendly, pleasant (9) 
bestia|bēstia, -ae, f., beast, animal (9) 
bestiola|bēstiola, -ae, f., little creature (25) 
bibliotheca|bibliothēca, -ae, f., library (22) 
bibo|bibō, bibere, bibī, —, drink (13) 
biremis|birēmis, birēme, adj., two-oared, having two banks of oars (26) 
birota|birota, -ae, f., two-wheeled vehicle; bicycle (25) 
bis|bis, adv., twice, two times (22) 
blandus|blandus, -a, -um, adj., flattering, charming, pleasant; gentle (18) 
bonus|bonus, -a, -um, comp. melior, superl. optimus, adj., good; honest, kind, pleasant; right (7) 
bos|bōs, bovis, m./f., cow; bull, ox (23) 
braca|brāca, -ae, f., pants; trousers (25) 
brachium|brāchium, -iī, n., arm (26) 
brevis|brevis, breve, adj., short; brief, quick (20) 
breviter|breviter, adv., shortly; briefly, quickly (21) 
bubo|būbō, būbōnis, m., owl (29) 
cachinno|cachinnō, cachinnāre, cachinnāvī, cachinnātus, laugh out loud, guffaw (22) 
cachinnus|cachinnus, -ī, m., loud, boisterous laugh; guffaw (22) 
cado|cadō, cadere, cecidī, cāsus, fall, sink, drop; die; decay (15) 
caelestis|caelestis, caeleste, adj., celestial, heavenly; from the sky (15) 
caelum|caelum, -ī, n., sky, heaven, weather (12) 
caementum|caementum, -ī, n., cement (19) 
caeruleus|caeruleus, -a, -um, adj., blue, cerulean (27) 
cafearius|cafēārius, -a, -um, adj., of coffee (29) 
caffea|caffea, -ae, f., coffee (21) 
calceus|calceus, -ī, m., shoe (25) 
calidus|calidus, -a, -um, adj., warm, hot (15) 
callidus|callidus, -a, -um, adj., crafty, sly, cunning; clever, ingenious (27) 
campus|campus, -ī, m., plain, field; park (15) 
candidus|candidus, -a, -um, adj., white; bright, clear (20) 
canis|canis, canis, m./f., dog (3) 
canna|canna, -ae, f., reed (24) 
cano|canō, canere, cecinī, cantus, sing, chant; play an instrument or a song (19) 
canto|cantō, cantāre, cantāvī, cantātus, sing, play music; recite, celebrate (6) 
capillus|capillus, -ī, m., hair, single hair (27) 
capio|capiō, capere, cēpī, captus, take, take hold; seize, grasp (12) 
capto|captō, captāre, captāvī, captātus, catch, capture (17) 
caput|caput, capitis, n., head; leader, top (17) 
cardinalis|cardinālis, cardinālis, m., cardinal (church official) (22) 
careo|careō, carēre, caruī, caritus, lack, be without something (+ abl.) (27) 
carmen|carmen, carminis, n., song; poem, play (11) 
caro|caro, carnis, f., meat, flesh (15) 
carpo|carpō, carpere, carpsī, carptus, seize, pick (29) 
carus|cārus, -a, -um, adj., dear, beloved; precious, expensive (10) 
casa|casa, -ae, f., cottage, hut; home, house (22) 
caseus|cāseus, -ī, m., cheese (13) 
cassus|cassus, -a, -um, adj., empty of, lacking (+ abl.) (15) 
castellum|castellum, -ī, n., castle, fortress (30) 
castigo|castīgō, castīgāre, castīgāvī, castīgātus, chastise, punish; reprimand (27) 
casus|cāsus, -ūs, m., grammatical case; occurrence, event; accident, misfortune (5) 
catena|catēna, -ae, f., chain, fetter; bond (30) 
caupo|caupō, caupōnis, m., innkeeper, keeper of a tavern (20) 
caupona|caupōna, -ae, f., inn, tavern; restaurant (20) 
causa|causā, prep. with gen., for the sake of, for the purpose of (preceded by gen.) (21) 
causa|causa, -ae, f., cause, reason (16) 
cavea|cavea, -ae, f., cage, birdcage (12) 
caveo|caveo, cavere, cavi, cautus, beware, watch out; avoid  (22) 
cavum|cavum, -ī, n., cave, cavern; hole, hollow (24) 
celeber|celeber, celebris, superl. celeberrimus, adj., famous, celebrated; renowned (13) 
celeriter|celeriter, superl. celerrimē, adv., quickly, rapidly; at once (20) 
celo|cēlō, cēlāre, cēlāvī, cēlātus, conceal, hide (25) 
cena|cēnā, -ae, f., dinner, supper (17) 
cenaculum|cēnāculum, -ī, n., dining room (12) 
ceno|cēnō, cēnāre, cēnāvī, cēnātus, dine; eat dinner (20) 
centralis|centrālis, centrāle, adj., central, centrally located; in the middle, center (26) 
centum|centum, num., one hundred (13) 
certe|certē, adv., surely, certainly; for sure; at any rate, in any case (6) 
certus|certus, -a, -um, adj., firm, certain, sure (22) 
cesso|cessō, cessāre, cessāvī, cessātus, cease from, stop (29) 
ceterus|cēterus, -a, -um, the other, the others (pl.); the remaining, the rest (1) 
charta|charta, -ae, f., paper; sheet of paper (27) 
charteus|charteus, -a, -um, adj., made of paper (29) 
chorda|chorda, -ae, f., string of a musical instrument (28) 
chorus|chorus, -ī, m., chorus, choir (15) 
Christianus|Chrīstiānus, -a, -um, adj., Christian (25) 
cibus|cibus, -ī, m., food (12) 
circa|circā, prep. with acc., around, about (21) 
circulus|circulus, -ī, m., circle, ring (28) 
circum|circum, prep. with acc., around, in a circle around (10) 
circumcurro|circumcurrō, circumcurrere, circumcurrī, circumcursus, run around (10) 
circumdo|circumdō, circumdare, circumdedī, circumdatus, surround, envelop; place around (25) 
circumsedeo|circumsedeō, circumsedēre, circumsēdī, circumsessus, sit around (18) 
circumspergo|circumspergō, circumspergere, circumspersī, circumspersus, spread around, strew (30) 
circumspicio|circumspiciō, circumspicere, circumspexī, circumspectus, look around, survey; search for (15) 
circumsto|circumstō, circumstāre, circumstetī, circumstatus, stand around, crowd around; surround (16) 
cithara|cithara, -ae, f., cithara, lyre; guitar (19) 
cito|citō, citāre, citāvī, citātus, cite, quote (30) 
cito|citō, comp. citius, superl. citissimē, adv., quickly, speedily (26) 
civilis|cīvīlis, cīvīle, adj., civil (24) 
civis|cīvis, cīvis, m./f., citizen, fellow citizen; a Roman citizen (19) 
civitas|cīvitās, cīvitātis f., community, city, town; state; city-state, kingdom (4) 
clamo|clāmō, clāmāre, clāmāvī, clāmātus, cry out, shout, yell (3) 
clamor|clāmor, clāmōris, m., shout; loud noise, din (12) 
clarus|clārus, -a, -um adj., clear, bright, gleaming; evident, distinct; illustrious, famous (12) 
claudo|claudō, claudere, clausī, clausus, close, shut (6) 
clavis|clāvis, clāvis, f., key (27) 
clementia|clēmentia, -ae, f., clemency, mercy (27) 
cliens|cliēns, clientis, m./f., client, dependent (of a patron) (16) 
coepio|coepiō, coepere, coepī, coeptus, begin, commence (24) 
cogitatio|cōgitātiō, cōgitātiōnis, f., reflection, thought (25) 
cogito|cōgitō, cōgitāre, cōgitāvī, cōgitātus, think, imagine; ponder (13) 
cognosco|cognōscō, cognōscere, cognōvī, cognitus, know, get to know; recognize, be aware of; learn (18) 
cogo|cōgō, cōgere, coēgī, coāctus, force, compel (22) 
colligo|colligō, colligere, collēgī, collēctus, collect, gather (29) 
collis|collis, collis, m., hill (14) 
colloquium|colloquium, -iī, n., talk, conversation (2) 
colloquor|colloquor, colloquī, collocūtus sum, talk, speak to/with; converse, discuss (18) 
colo|colō, colere, coluī, cultus, till, cultivate; foster, maintain, tend; honor, cherish (19) 
color|color, colōris, m., color (14) 
colosseus|colossēus, -a, -um, adj., colossal, huge, gigantic (11) 
columba|columba, -ae, f., pigeon, dove (18) 
columna|columna, -ae, f., column, pillar (24) 
coma|coma, -ae, f., hair (21) 
comedo|comedō, comedere, comēdī, comēsus, eat up; consume, devour (12) 
comes|comes, comitis, m./f., comrade, companion (20) 
comitor|comitor, comitārī, comitātus sum, accompany, follow; go, come with (22) 
commoveo|commoveō, commovēre, commōvī, commōtus, shake, stir up agitate; disturb, trouble (27) 
communis|commūnis, commūne, adj., common, public; shared by all (27) 
compleo|compleō, complēre, complēvī, complētus, fill; occupy space (25) 
compono|compōnō, compōnere, composuī, compositus, construct, build, make up; compose (of songs, poetry, etc.) (29) 
concavus|concavus, -a, -um, adj., vaulted, arched (28) 
conclave|conclāve, conclāvis, n., room, chamber (23) 
concordia|concordia, -ae, f., harmony, peace; Concordia, the goddess Concord (16) 
concumbo|concumbō, concumbere, concubuī, concubitus, lie with (24) 
